Item,Quantity,Price,Link
Waveshare RP2040 Zero,1,$5.86,https://www.aliexpress.com/item/1005009026492881.html
1N5819 Diode,100,$5.49,https://www.aliexpress.com/item/1005010374297754.html
1N4148 Diode,100,$4.43,https://www.aliexpress.com/item/1005010373909049.html
SSD1306 OLED Display,1,$5.33,https://www.aliexpress.com/item/1005006141235306.html
EC11 Encoder with Push Button Half Handle 20MM Shaft,5,$6.31,https://www.aliexpress.com/item/1005005983134515.html
Si4735 D60 GU,1,$8.06,https://www.aliexpress.com/item/1005012026178499.html
PE4259,20,$4.96,https://www.aliexpress.com/item/32860670352.html
32.768 kHz Crystal SMD,10,$5.01,https://www.aliexpress.com/item/1005007548931959.html
2.5K Ferrite Bead,100,$1.63,https://www.aliexpress.com/item/1005009841998170.html
1K Ferrite Bead,100,$1.70,https://www.aliexpress.com/item/1005009841998170.html
"100uF, 10uF, 100nF, 22pF, 1uF, 0.47uF, 33pF, 18pF, 22nF Capacitor Pack",720,$6.21,https://www.aliexpress.com/item/1005006124283234.html
100 ohm Resistor 1206,100,$1.61,https://www.aliexpress.com/item/1005011924690352.html
20k ohm Resistor 1206,100,$1.61,https://www.aliexpress.com/item/1005011924690352.html
100k ohm Resistor 1206,100,$1.61,https://www.aliexpress.com/item/1005011924690352.html
SMA Connector Edge Mount,5,$5.32,https://www.aliexpress.com/item/1005007424915378.html
180nH Inductor 0603,100,$1.33,https://www.aliexpress.com/item/1005004900337516.html
4.7uH Inductor 0603,100,$1.33,https://www.aliexpress.com/item/1005004900337516.html
Tactile Switches Push Buttons,20,$4.12,https://www.aliexpress.com/item/1005006046180384.html
PRTR5V0U2X ESD Protection Diode,10,$4.66,https://www.aliexpress.com/item/4000580941007.html
TPA6132A2RTE Headphone Amplifier,5,$3.35,https://www.aliexpress.com/item/1005006173782133.html
18650 Lithium Battery,2,BDT 510 (~$4.16),https://store.roboticsbd.com/battery-charger/983-18650-generic-37v-li-ion-battery-standard-quality-flat-top-solderable-robotics-bangladesh.html
TP4056 BMS,1,$4.02,https://www.aliexpress.com/item/1005009635476640.html
Rocker Switch,5,$5.20,https://www.aliexpress.com/item/1005008778176373.html
Binding Post,5,$6.00,https://www.aliexpress.com/item/1005008274414247.html
Headphone Connector,10,$4.45,https://www.aliexpress.com/item/32871877936.html
AM Ferrite Antenna,2,$10.04,https://www.aliexpress.com/item/1005011550262545.html
Whip SMA Antenna,1,$8.93,https://www.aliexpress.com/item/1005010114425808.html
M3 Heat Set Inserts,30,$6.13,https://www.aliexpress.com/item/1005006071488810.html
M3 Fasteners,50,$6.28,https://www.aliexpress.com/item/1005011845940916.html
Top Case,1,Printing Legion,https://printlegion.hackclub.com/
Bottom Case,1,Printing Legion,https://printlegion.hackclub.com/
Battery Cover,1,Printing Legion,https://printlegion.hackclub.com/
PCB,5,$6.24,JLCPCB, https://jlcpcb.com
